policy,entry,exit,pnl
MA50/200,2012-05-30,2012-06-18,11897.114673629412
MA50/200,2012-05-31,2012-06-18,11280.10797311238
MA50/200,2012-06-20,2012-07-25,-1554.4546187480098
MA50/200,2012-07-24,2012-08-27,9824.008972973696
MA50/200,2012-08-21,2012-09-25,4650.143101847586
MA50/200,2012-09-25,2012-10-31,-2727.048992446944
MA50/200,2012-11-05,2012-11-16,-22862.73187163837
MA50/200,2012-11-01,2012-12-06,-1974.7134642464578
MA50/200,2012-12-19,2013-01-03,14847.166986767686
MA50/200,2012-12-06,2013-01-11,7989.1351486052645
MA50/200,2013-01-16,2013-02-21,5344.942652893391
MA50/200,2013-02-21,2013-03-27,8251.383718313105
MA50/200,2013-03-27,2013-05-01,3634.8041661265975
MA50/200,2013-05-01,2013-06-05,4706.97308486415
MA50/200,2013-07-05,2013-08-08,8393.047802854766
MA50/200,2013-08-08,2013-09-12,-1424.2451229711176
MA50/200,2013-09-12,2013-10-16,5310.937078335641
MA50/200,2013-10-16,2013-11-19,8091.767131655572
MA50/200,2013-11-19,2013-12-24,5978.190581728768
MA50/200,2013-12-24,2014-01-30,-2405.0444638429785
MA50/200,2014-02-11,2014-03-18,6439.737633876411
MA50/200,2014-03-18,2014-04-22,407.4263134329855
MA50/200,2014-04-22,2014-05-27,3933.5068275712465
MA50/200,2014-05-27,2014-06-30,6691.902851090849
MA50/200,2014-06-30,2014-08-04,-898.87504940877
MA50/200,2014-08-11,2014-09-15,5616.362467519751
MA50/200,2014-09-15,2014-10-17,-5497.703164841856
MA50/200,2014-10-21,2014-11-24,-3546.8026233673
MA50/200,2014-11-24,2014-12-30,2803.3309111312833
MA50/200,2015-02-13,2015-03-20,650.1525895362072
MA50/200,2015-03-20,2015-04-24,813.7863279204788
MA50/200,2015-04-24,2015-05-29,-599.9443893119316
MA50/200,2015-05-29,2015-07-02,-1853.5320469156086
MA50/200,2015-07-13,2015-08-10,14096.837273241374
MA50/200,2015-08-13,2015-08-24,-42544.94220004212
MA50/200,2015-09-02,2015-09-18,4396.484162510454
MA50/200,2015-09-03,2015-09-21,5186.960886629361
MA50/200,2015-09-21,2015-10-12,12115.294927746078
MA50/200,2015-09-23,2015-10-15,11187.04390952294
MA50/200,2015-10-13,2015-11-16,10228.905383010413
MA50/200,2015-11-27,2016-01-04,-5794.419510355454
MA50/200,2016-01-04,2016-02-08,-14158.60659210796
MA50/200,2016-02-16,2016-03-10,4603.373282142813
MA50/200,2016-02-17,2016-03-10,4573.406359385228
MA50/200,2016-03-28,2016-04-29,11868.29850307642
MA50/200,2016-05-17,2016-05-31,16306.607693404343
MA50/200,2016-05-06,2016-06-10,4911.722431368259
MA50/200,2016-07-01,2016-08-04,12435.155790066987
MA50/200,2016-08-04,2016-09-08,2068.7720119265555
MA50/200,2016-09-08,2016-10-12,-2943.613976695723
MA50/200,2016-10-11,2016-10-24,10965.484778343423
MA50/200,2016-10-27,2016-11-09,12183.721527738926
MA50/200,2016-10-24,2016-11-28,5772.372607067744
MA50/200,2016-11-28,2017-01-03,6124.659277999646
MA50/200,2017-01-03,2017-02-07,3601.6375714964383
MA50/200,2017-02-07,2017-03-14,8177.650240831218
MA50/200,2017-03-14,2017-04-18,-1529.9457290952907
MA50/200,2017-04-20,2017-05-24,4325.32203594127
MA50/200,2017-05-24,2017-06-28,4530.323063267804
MA50/200,2017-06-28,2017-08-02,4604.511647752003
MA50/200,2017-08-02,2017-09-06,-992.7415222221343
MA50/200,2017-09-06,2017-10-10,8678.128245679263
MA50/200,2017-10-10,2017-11-13,4493.290249027699
MA50/200,2017-11-13,2017-12-18,9988.13537376674
MA50/200,2017-12-18,2018-01-24,12074.592371731123
MA50/200,2018-01-26,2018-03-02,-8686.628683110226
MA50/200,2018-04-06,2018-04-23,12008.058404460777
MA50/200,2018-05-09,2018-06-13,6734.7142741731805
MA50/200,2018-05-29,2018-06-20,12712.217081344095
MA50/200,2018-06-20,2018-07-25,6868.285835594922
MA50/200,2018-07-25,2018-08-28,4755.984069376369
MA50/200,2018-08-28,2018-10-02,2149.2593023525906
MA50/200,2018-10-02,2018-11-05,-8841.047445447624
MA50/200,2018-11-01,2018-11-30,12319.838962777478
MA50/200,2018-11-30,2018-12-24,-40663.05518995592
MA50/200,2018-12-26,2019-01-10,5180.102480167163
MA50/200,2018-12-27,2019-01-11,5922.4152551516345
MA50/200,2019-01-10,2019-02-14,6197.753483059535
MA50/200,2019-02-26,2019-03-28,13191.681941757299
MA50/200,2019-04-01,2019-05-06,6398.173469167968
MA50/200,2019-05-21,2019-06-25,4550.975811737724
MA50/200,2019-06-13,2019-06-26,6844.716534466707
MA50/200,2019-06-28,2019-07-12,18302.301769481182
MA50/200,2019-07-12,2019-08-15,-6433.978771961354
MA50/200,2019-08-21,2019-09-04,3577.3381766914376
MA50/200,2019-09-05,2019-09-18,12246.557068362215
MA50/200,2019-09-06,2019-10-10,-1698.3895951203042
MA50/200,2019-10-14,2019-11-15,1579.1541752950743
MA50/200,2019-11-15,2019-12-20,7972.554818755775
MA50/200,2019-12-20,2020-01-28,5497.007077208304
MA50/200,2020-02-06,2020-03-12,-2220.511736966161
MA50/200,2020-04-27,2020-05-11,4207.1552263135845
MA50/200,2020-04-28,2020-05-20,4443.6704305605235
MA50/200,2020-05-11,2020-06-15,179.67964327808875
MA50/200,2020-05-20,2020-06-24,2226.4183417502095
MA50/200,2020-06-15,2020-07-01,4549.5857871522585
MA50/200,2020-06-24,2020-07-17,4568.3563183563365
MA50/200,2020-07-01,2020-07-29,4345.239379846297
