variant,entry_date,strategy,pnl,bp_per_contract,pnl_source,expiry_proxy
V1b_weekly_catchup,2005-06-13,Bull Call Diagonal,-768.2236622526289,6670.6196264453,bootstrap,2005-07-28
V1b_weekly_catchup,2005-06-20,Bull Call Diagonal,1500.4233196753403,5546.106633143534,bootstrap,2005-08-04
V1b_weekly_catchup,2005-06-27,Bull Call Diagonal,4057.99882048481,9217.156200073738,bootstrap,2005-08-11
V1b_weekly_catchup,2005-07-05,Bull Call Diagonal,1551.4318930745758,8044.908466819222,bootstrap,2005-08-19
V1b_weekly_catchup,2005-07-11,Bull Call Diagonal,1640.9033429662213,5154.639175257732,bootstrap,2005-08-25
V1b_weekly_catchup,2005-07-18,Bull Call Diagonal,-1095.1509083627307,16061.103576272397,bootstrap,2005-09-01
V1b_weekly_catchup,2005-07-25,Bull Call Diagonal,1472.8216317105196,5568.755568755569,bootstrap,2005-09-08
V1b_weekly_catchup,2005-08-01,Bull Call Diagonal,6575.273146965152,13918.960717599752,bootstrap,2005-09-15
V1b_weekly_catchup,2005-08-08,Bull Call Diagonal,-126.29306696116095,5309.2333467047365,bootstrap,2005-09-22
V1b_weekly_catchup,2005-08-15,Bull Call Diagonal,-2509.9917975152875,13582.855418050105,bootstrap,2005-09-29
V1b_weekly_catchup,2005-08-31,Iron Condor,386.5393247372192,2280.860036291018,engine_exact_d+0,2005-09-30
V1b_weekly_catchup,2005-09-06,Bull Call Diagonal,-1286.3692875804024,13456.133006399139,bootstrap,2005-10-21
V1b_weekly_catchup,2005-09-12,Bull Call Diagonal,-1286.3692875804024,13456.133006399139,bootstrap,2005-10-27
V1b_weekly_catchup,2005-09-19,Iron Condor,696.9122709700184,4067.539229156121,bootstrap,2005-10-19
V1b_weekly_catchup,2005-10-03,Iron Condor,907.3124407737702,5187.67868671032,bootstrap,2005-11-02
V1b_weekly_catchup,2005-10-18,Iron Condor,1197.620282987098,6767.120815663629,bootstrap,2005-11-17
V1b_weekly_catchup,2005-10-31,Iron Condor,214.72878168392842,3927.249877818893,bootstrap,2005-11-30
V1b_weekly_catchup,2005-11-07,Bull Call Diagonal,-1286.3692875804024,13456.133006399139,bootstrap,2005-12-22
V1b_weekly_catchup,2005-11-14,Bull Call Diagonal,3985.356441674716,10048.680273324104,bootstrap,2005-12-29
V1b_weekly_catchup,2005-11-21,Bull Call Diagonal,-441.73391285552367,8534.041342689172,bootstrap,2006-01-05
V1b_weekly_catchup,2005-11-28,Bull Call Diagonal,833.5929777980032,8690.278475145802,bootstrap,2006-01-12
V1b_weekly_catchup,2005-12-05,Bull Call Diagonal,615.7257543992396,9635.974304068523,bootstrap,2006-01-19
V1b_weekly_catchup,2005-12-12,Bull Call Diagonal,-937.3717995242105,5406.0547813551175,bootstrap,2006-01-26
V1b_weekly_catchup,2005-12-19,Bull Call Diagonal,1640.9033429662213,5154.639175257732,bootstrap,2006-02-02
V1b_weekly_catchup,2005-12-27,Bull Call Diagonal,-655.0803592010108,4953.437685753913,bootstrap,2006-02-10
V1b_weekly_catchup,2006-01-03,Bull Call Diagonal,-518.0373572010018,4554.748071823316,bootstrap,2006-02-17
V1b_weekly_catchup,2006-01-09,Bull Call Diagonal,-579.9893843943789,7778.469197261979,bootstrap,2006-02-23
V1b_weekly_catchup,2006-01-17,Bull Call Diagonal,2571.8054461870784,8030.265177201185,bootstrap,2006-03-03
V1b_weekly_catchup,2006-01-30,Bull Call Diagonal,-715.9041126138032,9874.917709019091,bootstrap,2006-03-16
V1b_weekly_catchup,2006-02-14,Iron Condor,403.18744481397454,2267.7793904208997,engine_exact_d+0,2006-03-16
V1b_weekly_catchup,2006-02-21,Bull Call Diagonal,-1238.5024263775688,9642.581640524555,bootstrap,2006-04-07
V1b_weekly_catchup,2006-02-27,Bull Call Diagonal,2600.0168380739997,21314.892004547175,bootstrap,2006-04-13
V1b_weekly_catchup,2006-03-08,Iron Condor,-1075.6818066530554,5678.520051485249,bootstrap,2006-04-07
V1b_weekly_catchup,2006-03-13,Bull Call Diagonal,-701.0326981738483,4610.088923493013,bootstrap,2006-04-27
V1b_weekly_catchup,2006-03-20,Bull Call Diagonal,200.870511905306,4934.21052631579,engine_exact_d+1,2006-05-04
V1b_weekly_catchup,2006-03-27,Bull Call Diagonal,3526.682936204959,13268.074065337894,bootstrap,2006-05-11
V1b_weekly_catchup,2006-04-03,Bull Call Diagonal,3897.223084994712,8619.698885185611,bootstrap,2006-05-18
V1b_weekly_catchup,2006-04-10,Bull Call Diagonal,1551.4318930745758,8044.908466819222,bootstrap,2006-05-25
V1b_weekly_catchup,2006-04-18,Bull Call Diagonal,615.7257543992396,9635.974304068523,bootstrap,2006-06-02
V1b_weekly_catchup,2006-04-24,Bull Call Diagonal,-178.1152274724072,4999.444506165982,engine_exact_d+1,2006-06-08
V1b_weekly_catchup,2006-05-01,Bull Call Diagonal,3985.356441674716,10048.680273324104,bootstrap,2006-06-15
V1b_weekly_catchup,2006-05-08,Bull Call Diagonal,-912.9527127154284,4860.24106795697,bootstrap,2006-06-22
V1b_weekly_catchup,2006-05-30,Iron Condor,615.1125953909618,3646.500170170008,engine_exact_d+0,2006-06-29
V1b_weekly_catchup,2006-06-05,Iron Condor,733.4651787616816,5377.886132224294,bootstrap,2006-07-05
V1b_weekly_catchup,2006-06-19,Iron Condor,497.84133014570216,2905.6252905625292,engine_exact_d+2,2006-07-19
V1b_weekly_catchup,2006-06-26,Iron Condor,2813.1439795009132,14080.981287940422,bootstrap,2006-07-26
V1b_weekly_catchup,2006-08-15,Bull Call Diagonal,1472.8216317105196,5568.755568755569,engine_exact_d+0,2006-09-29
V1b_weekly_catchup,2006-08-21,Bull Call Diagonal,-72.23205234306705,6672.597864768683,bootstrap,2006-10-05
V1b_weekly_catchup,2006-08-28,Bull Call Diagonal,-82.75733182493042,8983.829107606309,bootstrap,2006-10-12
V1b_weekly_catchup,2006-09-05,Bull Call Diagonal,-504.018485516239,5179.200331468822,bootstrap,2006-10-20
V1b_weekly_catchup,2006-09-11,Bull Call Diagonal,3234.247106273738,6891.693212447929,bootstrap,2006-10-26
V1b_weekly_catchup,2006-09-18,Bull Call Diagonal,2413.1448877439107,5162.563384806002,engine_exact_d+1,2006-11-02
V1b_weekly_catchup,2006-09-25,Bull Call Diagonal,-579.9893843943789,7778.469197261979,bootstrap,2006-11-09
V1b_weekly_catchup,2006-10-02,Bull Call Diagonal,5535.191917716522,30704.14847161572,bootstrap,2006-11-16
V1b_weekly_catchup,2006-10-09,Bull Call Diagonal,340.1932794644892,5038.403833665495,bootstrap,2006-11-23
V1b_weekly_catchup,2006-10-16,Bull Call Diagonal,-748.2254296499194,6605.213715359323,bootstrap,2006-11-30
V1b_weekly_catchup,2006-10-23,Bull Call Diagonal,340.1932794644892,5038.403833665495,engine_exact_d+0,2006-12-07
V1b_weekly_catchup,2006-10-30,Bull Call Diagonal,-2041.6259684570146,8769.536578711462,bootstrap,2006-12-14
V1b_weekly_catchup,2006-11-06,Bull Call Diagonal,10193.050472110557,30209.452201933404,bootstrap,2006-12-21
V1b_weekly_catchup,2006-11-13,Bull Call Diagonal,2600.0168380739997,21314.892004547175,bootstrap,2006-12-28
V1b_weekly_catchup,2006-11-20,Bull Call Diagonal,-937.3717995242105,5406.0547813551175,bootstrap,2007-01-04
V1b_weekly_catchup,2006-11-27,Bull Call Diagonal,1598.3566500412237,5552.539361334584,engine_exact_d+0,2007-01-11
V1b_weekly_catchup,2006-12-04,Bull Call Diagonal,1598.3566500412237,5552.539361334584,bootstrap,2007-01-18
V1b_weekly_catchup,2006-12-11,Bull Call Diagonal,3270.2804119805505,13088.243848525392,bootstrap,2007-01-25
V1b_weekly_catchup,2006-12-18,Bull Call Diagonal,-1114.3597810349481,5290.632054176072,bootstrap,2007-02-01
V1b_weekly_catchup,2006-12-26,Bull Call Diagonal,2600.0168380739997,21314.892004547175,bootstrap,2007-02-09
V1b_weekly_catchup,2007-01-03,Bull Call Diagonal,1500.4233196753403,5546.106633143534,engine_exact_d+0,2007-02-17
V1b_weekly_catchup,2007-01-08,Bull Call Diagonal,-526.5830196968352,6317.740214522379,bootstrap,2007-02-22
V1b_weekly_catchup,2007-01-16,Bull Call Diagonal,-3372.4761662068586,24459.180345689747,bootstrap,2007-03-02
V1b_weekly_catchup,2007-01-22,Bull Call Diagonal,-768.2236622526289,6670.6196264453,bootstrap,2007-03-08
V1b_weekly_catchup,2007-01-29,Bull Call Diagonal,998.4054119367503,6921.160294072411,bootstrap,2007-03-15
V1b_weekly_catchup,2007-02-05,Bull Call Diagonal,-655.0803592010108,4953.437685753913,engine_exact_d+2,2007-03-22
V1b_weekly_catchup,2007-02-12,Bull Call Diagonal,2571.8054461870784,8030.265177201185,bootstrap,2007-03-29
