variant,entry_date,exit_date,exit_reason,strategy,kind,credit,max_loss,pnl,spx_entry,vix_entry,ivp_entry
BaselineB_cluster_30d,2005-12-30,2006-01-13,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1248.2900390625,12.069999694824219,34.3
BaselineB_cluster_30d,2006-01-30,2006-02-13,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1285.18994140625,12.390000343322754,48.6
BaselineB_cluster_30d,2006-01-30,2006-02-13,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1285.18994140625,12.390000343322754,48.6
BaselineB_cluster_30d,2006-01-30,2006-02-13,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1285.18994140625,12.390000343322754,48.6
BaselineB_cluster_30d,2006-01-30,2006-02-13,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1285.18994140625,12.390000343322754,48.6
BaselineB_cluster_30d,2006-03-01,2006-03-15,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1291.239990234375,11.539999961853027,21.9
BaselineB_cluster_30d,2006-03-01,2006-03-15,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1291.239990234375,11.539999961853027,21.9
BaselineB_cluster_30d,2006-03-01,2006-03-15,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1291.239990234375,11.539999961853027,21.9
BaselineB_cluster_30d,2006-03-01,2006-03-15,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1291.239990234375,11.539999961853027,21.9
BaselineB_cluster_30d,2006-03-31,2006-04-14,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1294.8699951171875,11.390000343322754,21.1
BaselineB_cluster_30d,2006-03-31,2006-04-14,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1294.8699951171875,11.390000343322754,21.1
BaselineB_cluster_30d,2006-03-31,2006-04-14,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1294.8699951171875,11.390000343322754,21.1
BaselineB_cluster_30d,2006-03-31,2006-04-14,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1294.8699951171875,11.390000343322754,21.1
BaselineB_cluster_30d,2006-05-01,2006-05-15,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1305.18994140625,12.539999961853027,63.3
BaselineB_cluster_30d,2006-05-01,2006-05-15,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1305.18994140625,12.539999961853027,63.3
BaselineB_cluster_30d,2006-05-01,2006-05-15,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1305.18994140625,12.539999961853027,63.3
BaselineB_cluster_30d,2006-05-01,2006-05-15,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1305.18994140625,12.539999961853027,63.3
BaselineB_cluster_30d,2006-05-31,2006-06-01,ic_combined,Iron Condor,ic,824.0,421.3333333333333,548.6757841928428,1270.0899658203125,16.440000534057617,97.2
BaselineB_cluster_30d,2006-05-31,2006-06-01,ic_combined,Iron Condor,ic,824.0,421.3333333333333,548.6757841928428,1270.0899658203125,16.440000534057617,97.2
BaselineB_cluster_30d,2006-05-31,2006-06-01,ic_combined,Iron Condor,ic,824.0,421.3333333333333,548.6757841928428,1270.0899658203125,16.440000534057617,97.2
BaselineB_cluster_30d,2006-05-31,2006-06-01,ic_combined,Iron Condor,ic,824.0,421.3333333333333,548.6757841928428,1270.0899658203125,16.440000534057617,97.2
BaselineB_cluster_30d,2006-08-15,2006-08-29,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1285.5799560546875,13.420000076293945,62.2
BaselineB_cluster_30d,2006-08-15,2006-08-29,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1285.5799560546875,13.420000076293945,62.2
BaselineB_cluster_30d,2006-08-15,2006-08-29,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1285.5799560546875,13.420000076293945,62.2
BaselineB_cluster_30d,2006-08-15,2006-08-29,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1285.5799560546875,13.420000076293945,62.2
BaselineB_cluster_30d,2006-09-14,2006-09-28,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1316.280029296875,11.550000190734863,19.1
BaselineB_cluster_30d,2006-09-14,2006-09-28,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1316.280029296875,11.550000190734863,19.1
BaselineB_cluster_30d,2006-09-14,2006-09-28,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1316.280029296875,11.550000190734863,19.1
BaselineB_cluster_30d,2006-09-14,2006-09-28,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1316.280029296875,11.550000190734863,19.1
BaselineB_cluster_30d,2006-10-16,2006-10-30,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1369.06005859375,11.09000015258789,6.8
BaselineB_cluster_30d,2006-10-16,2006-10-30,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1369.06005859375,11.09000015258789,6.8
BaselineB_cluster_30d,2006-10-16,2006-10-30,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1369.06005859375,11.09000015258789,6.8
BaselineB_cluster_30d,2006-10-16,2006-10-30,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1369.06005859375,11.09000015258789,6.8
BaselineB_cluster_30d,2006-11-15,2006-11-29,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1396.5699462890625,10.3100004196167,0.8
BaselineB_cluster_30d,2006-11-15,2006-11-29,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1396.5699462890625,10.3100004196167,0.8
BaselineB_cluster_30d,2006-11-15,2006-11-29,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1396.5699462890625,10.3100004196167,0.8
BaselineB_cluster_30d,2006-11-15,2006-11-29,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1396.5699462890625,10.3100004196167,0.8
BaselineB_cluster_30d,2006-12-15,2006-12-29,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1427.0899658203125,10.050000190734863,1.2
BaselineB_cluster_30d,2006-12-15,2006-12-29,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1427.0899658203125,10.050000190734863,1.2
BaselineB_cluster_30d,2006-12-15,2006-12-29,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1427.0899658203125,10.050000190734863,1.2
BaselineB_cluster_30d,2006-12-15,2006-12-29,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1427.0899658203125,10.050000190734863,1.2
BaselineB_cluster_30d,2007-01-16,2007-01-30,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1431.9000244140625,10.739999771118164,8.8
BaselineB_cluster_30d,2007-01-16,2007-01-30,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1431.9000244140625,10.739999771118164,8.8
BaselineB_cluster_30d,2007-01-16,2007-01-30,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1431.9000244140625,10.739999771118164,8.8
BaselineB_cluster_30d,2007-01-16,2007-01-30,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1431.9000244140625,10.739999771118164,8.8
BaselineB_cluster_30d,2007-02-15,2007-03-01,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1456.81005859375,10.220000267028809,4.4
BaselineB_cluster_30d,2007-02-15,2007-03-01,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1456.81005859375,10.220000267028809,4.4
BaselineB_cluster_30d,2007-02-15,2007-03-01,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1456.81005859375,10.220000267028809,4.4
BaselineB_cluster_30d,2007-02-15,2007-03-01,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1456.81005859375,10.220000267028809,4.4
BaselineB_cluster_30d,2007-03-23,2007-04-06,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1436.1099853515625,12.949999809265137,65.3
BaselineB_cluster_30d,2007-03-23,2007-04-06,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1436.1099853515625,12.949999809265137,65.3
BaselineB_cluster_30d,2007-03-23,2007-04-06,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1436.1099853515625,12.949999809265137,65.3
BaselineB_cluster_30d,2007-03-23,2007-04-06,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1436.1099853515625,12.949999809265137,65.3
BaselineB_cluster_30d,2007-04-23,2007-05-07,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1480.9300537109375,13.039999961853027,62.2
BaselineB_cluster_30d,2007-04-23,2007-05-07,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1480.9300537109375,13.039999961853027,62.2
BaselineB_cluster_30d,2007-04-23,2007-05-07,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1480.9300537109375,13.039999961853027,62.2
BaselineB_cluster_30d,2007-04-23,2007-05-07,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1480.9300537109375,13.039999961853027,62.2
BaselineB_cluster_30d,2007-05-23,2007-06-06,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1522.280029296875,13.239999771118164,64.5
BaselineB_cluster_30d,2007-05-23,2007-06-06,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1522.280029296875,13.239999771118164,64.5
BaselineB_cluster_30d,2007-05-23,2007-06-06,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1522.280029296875,13.239999771118164,64.5
BaselineB_cluster_30d,2007-05-23,2007-06-06,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1522.280029296875,13.239999771118164,64.5
BaselineB_cluster_30d,2007-06-22,2007-07-09,ic_combined,Iron Condor,ic,805.3333333333331,430.66666666666674,556.3338213475027,1502.56005859375,15.75,91.6
