variant,entry_date,exit_date,strategy,pnl,max_loss,n_contracts,pnl_source
V1b_weekly_catchup,2008-02-04,2008-02-18,Iron Condor (High Vol),15587.740656203649,100046.83321205805,3,bootstrap
V1b_weekly_catchup,2008-02-13,2008-02-27,Iron Condor (High Vol),12997.972318565236,79214.97940311529,3,bootstrap
V1b_weekly_catchup,2008-02-19,2008-03-04,Iron Condor (High Vol),13267.365383750737,199549.79040783926,3,bootstrap
V1b_weekly_catchup,2008-02-25,2008-03-10,Bear Call Spread (High Vol),8008.124298214045,90092.85708619119,3,engine_d+2
V1b_weekly_catchup,2008-03-11,2008-03-25,Iron Condor (High Vol),10809.161034540992,153735.72945068797,3,engine_d+0
V1b_weekly_catchup,2008-03-18,2008-04-01,Iron Condor (High Vol),9568.637806010911,149229.59496222873,3,engine_d+0
V1b_weekly_catchup,2008-03-24,2008-04-07,Iron Condor (High Vol),14340.587047040739,205565.74325837343,3,bootstrap
V1b_weekly_catchup,2008-03-31,2008-04-14,Iron Condor (High Vol),18558.414068094,118342.82001685655,3,bootstrap
V1b_weekly_catchup,2008-04-07,2008-04-21,Iron Condor (High Vol),13071.593253916773,197950.076402552,3,bootstrap
V1b_weekly_catchup,2008-04-14,2008-04-28,Bear Call Spread (High Vol),-5087.087095800936,96725.82611547684,3,engine_d+0
V1b_weekly_catchup,2008-06-04,2008-06-18,Iron Condor,-20299.65211017247,70063.83190913202,3,engine_d+0
V1b_weekly_catchup,2008-06-17,2008-07-01,Iron Condor,9957.219977955021,56263.00049870403,3,bootstrap
V1b_weekly_catchup,2008-06-24,2008-07-08,Bear Call Spread (High Vol),-232.69496647809007,97261.64514494708,3,bootstrap
V1b_weekly_catchup,2008-07-16,2008-07-30,Iron Condor (High Vol),9351.278903232069,145175.51774809253,3,engine_d+0
V1b_weekly_catchup,2008-07-21,2008-08-04,Bear Call Spread (High Vol),8113.836383268226,92699.30350253044,3,engine_d+0
V1b_weekly_catchup,2008-07-29,2008-08-12,Bear Call Spread (High Vol),-232.69496647809007,97261.64514494708,3,bootstrap
V1b_weekly_catchup,2008-09-02,2008-09-16,Iron Condor,-38326.662045206744,77507.99374227384,3,engine_d+0
V1b_weekly_catchup,2009-05-04,2009-05-18,Bull Put Spread (High Vol),2862.103779104383,90595.41213641223,3,engine_d+0
V1b_weekly_catchup,2009-05-11,2009-05-25,Bull Put Spread (High Vol),-6557.186365579338,63245.256564979776,3,bootstrap
V1b_weekly_catchup,2009-05-18,2009-06-01,Bull Put Spread (High Vol),5896.148504071107,63344.179003103,3,bootstrap
V1b_weekly_catchup,2009-05-26,2009-06-09,Bull Put Spread (High Vol),12028.81435487749,89676.74885878041,3,bootstrap
V1b_weekly_catchup,2009-06-01,2009-06-15,Bull Put Spread (High Vol),1811.579970299143,81837.83070361262,3,engine_d+0
V1b_weekly_catchup,2009-06-08,2009-06-22,Bull Put Spread (High Vol),7814.735066880059,62769.95639493363,3,bootstrap
V1b_weekly_catchup,2009-06-15,2009-06-29,Bull Put Spread (High Vol),-10293.46042978482,68348.1828526505,3,bootstrap
V1b_weekly_catchup,2009-06-23,2009-07-07,Iron Condor (High Vol),14555.596430336609,163590.42805290004,3,bootstrap
V1b_weekly_catchup,2009-06-29,2009-07-13,Bull Put Spread (High Vol),12270.055121094963,88309.96741587462,3,bootstrap
V1b_weekly_catchup,2009-07-06,2009-07-20,Bear Call Spread (High Vol),7844.99977294235,88717.1367379461,3,bootstrap
V1b_weekly_catchup,2009-07-14,2009-07-28,Iron Condor (High Vol),9016.87344028355,156940.5576748362,3,bootstrap
V1b_weekly_catchup,2009-07-20,2009-08-03,Bull Put Spread (High Vol),60.93100746586178,63115.69745686876,3,bootstrap
V1b_weekly_catchup,2009-07-27,2009-08-10,Bull Put Spread (High Vol),13865.472600447389,88806.41436044296,3,bootstrap
V1b_weekly_catchup,2009-08-05,2009-08-19,Bull Put Spread (High Vol),7910.016392162247,63644.94590520712,3,bootstrap
V1b_weekly_catchup,2009-08-10,2009-08-24,Bull Put Spread (High Vol),13865.472600447389,88806.41436044296,3,bootstrap
V1b_weekly_catchup,2009-08-17,2009-08-31,Bull Put Spread (High Vol),-4054.9086374847084,62621.93610589632,3,bootstrap
V1b_weekly_catchup,2009-08-24,2009-09-07,Bull Put Spread (High Vol),1811.579970299143,81837.83070361262,3,bootstrap
V1b_weekly_catchup,2009-08-31,2009-09-14,Bull Put Spread (High Vol),9196.881987538269,62582.38001318656,3,bootstrap
V1b_weekly_catchup,2009-09-09,2009-09-23,Bull Put Spread (High Vol),-16059.35903422784,62543.4708298443,3,bootstrap
V1b_weekly_catchup,2009-09-14,2009-09-28,Bull Put Spread (High Vol),11440.076780197724,86161.56366425431,3,bootstrap
