entry_date,exit_date,strategy,family,hv,era,entry_delta_pershare,contracts,exit_pnl,delta_pnl,residual,fidelity_err
2020-06-05,2020-06-25,Bull Put Spread (High Vol),BPS,HV,post2020,0.1,7.1187,-10542.23,-6467.96,-4074.27,0.0
2020-06-25,2020-07-06,Bull Put Spread (High Vol),BPS,HV,post2020,0.0998,5.8488,9294.23,5525.8,3768.43,0.0
2020-07-07,2020-07-20,Bull Put Spread (High Vol),BPS,HV,post2020,0.0989,6.2642,11109.7,5973.33,5136.37,0.0
2020-06-26,2020-07-24,Iron Condor (High Vol),IC,HV,post2020,0.002,4.0096,11040.58,-2130.11,13170.7,0.0
2020-07-02,2020-08-06,Iron Condor (High Vol),IC,HV,post2020,-0.0002,5.0275,8782.17,-4292.01,13074.18,0.0
2020-08-17,2020-08-27,Bull Put Spread,BPS,nonHV,post2020,0.1495,8.1712,10528.4,11217.36,-688.97,0.0
2020-08-19,2020-09-23,Iron Condor (High Vol),IC,HV,post2020,-0.0012,5.7824,-41.77,2698.65,-2740.42,0.0
2020-08-20,2020-09-24,Iron Condor (High Vol),IC,HV,post2020,0.0,5.798,162.02,2736.5,-2574.49,0.0
2020-11-06,2020-11-23,Bull Put Spread (High Vol),BPS,HV,post2020,0.0992,6.4677,8847.63,5328.91,3518.71,0.0
2020-11-05,2020-11-25,Iron Condor (High Vol),IC,HV,post2020,0.0014,4.5019,11522.06,443.3,11078.76,0.0
2020-11-09,2020-11-27,Iron Condor (High Vol),IC,HV,post2020,0.0012,4.8062,10790.43,974.15,9816.28,0.0
2020-11-23,2020-12-08,Bull Put Spread (High Vol),BPS,HV,post2020,0.0992,6.8707,10587.46,7110.46,3477.01,0.0
2020-12-09,2020-12-30,Bull Put Spread (High Vol),BPS,HV,post2020,0.0986,6.8765,7608.6,4078.64,3529.95,0.0
2020-12-30,2021-01-20,Bull Put Spread (High Vol),BPS,HV,post2020,0.0999,6.5612,10648.57,7691.02,2957.55,0.0
2021-01-04,2021-02-03,Iron Condor (High Vol),IC,HV,post2020,0.0016,4.3445,12090.41,2444.82,9645.59,0.0
2021-01-25,2021-02-11,Bull Put Spread (High Vol),BPS,HV,post2020,0.1009,6.1756,8967.72,4101.65,4866.07,0.0
2021-01-29,2021-02-12,Iron Condor (High Vol),IC,HV,post2020,-0.0413,2.039,5379.06,-2235.57,7614.63,0.0
