date,ivp,vix,trend,anchor_spx,fwd_21d_ret,fwd_21d_dir,fwd_34d_ret,fwd_34d_dir,fwd_60d_ret,fwd_60d_dir
2015-10-22,MID,14.45,BULLISH,2052.51,-0.0032,FLAT,0.0177,UP,-0.0153,DOWN
2015-10-23,MID,14.46,BULLISH,2075.15,-0.0251,DOWN,0.0072,FLAT,-0.0174,DOWN
2015-10-28,MID,14.33,BULLISH,2090.35,-0.0032,FLAT,0.0059,FLAT,-0.0162,DOWN
2015-10-29,MID,14.61,BULLISH,2089.41,-0.0039,FLAT,-0.0047,FLAT,-0.0158,DOWN
2015-11-02,MID,14.15,BULLISH,2104.05,-0.0083,FLAT,-0.0128,DOWN,-0.0434,DOWN
2015-11-03,MID,14.54,BULLISH,2109.79,-0.0098,FLAT,-0.0155,DOWN,-0.046,DOWN
2015-11-06,MID,14.33,BULLISH,2099.2,-0.0043,FLAT,-0.0224,DOWN,-0.0393,DOWN
2015-12-01,MID,14.67,BULLISH,2102.63,-0.0303,DOWN,-0.0428,DOWN,-0.0776,DOWN
2015-12-04,MID,14.81,BULLISH,2091.69,-0.0168,DOWN,-0.071,DOWN,-0.0902,DOWN
2016-03-16,MID,14.99,BULLISH,2027.22,0.0195,UP,0.0363,UP,0.0195,UP
2016-03-17,LOW,14.44,BULLISH,2040.59,0.0006,FLAT,0.0303,UP,0.0128,UP
2016-03-18,LOW,14.02,BULLISH,2049.58,-0.001,FLAT,0.0204,UP,-0.0012,FLAT
2016-03-21,LOW,13.79,BULLISH,2051.6,-0.0047,FLAT,0.0176,UP,0.0004,FLAT
2016-03-22,LOW,14.17,BULLISH,2049.8,0.0058,FLAT,0.0185,UP,-0.0009,FLAT
2016-03-23,MID,14.94,BULLISH,2036.71,0.0224,UP,0.027,UP,0.0056,FLAT
2016-03-24,MID,14.74,BULLISH,2035.94,0.023,UP,0.0291,UP,0.0059,FLAT
2016-03-29,LOW,13.82,BULLISH,2055.01,0.0223,UP,0.0129,UP,0.0204,UP
2016-03-30,LOW,13.56,BULLISH,2063.95,0.0186,UP,-0.0003,FLAT,0.016,UP
2016-03-31,LOW,13.95,BULLISH,2059.74,0.0154,UP,-0.0042,FLAT,0.0181,UP
2016-04-01,LOW,13.1,BULLISH,2072.78,0.0091,FLAT,-0.0107,DOWN,0.0117,UP
2016-04-04,LOW,14.12,BULLISH,2066.13,0.0105,UP,-0.0036,FLAT,0.016,UP
2016-04-06,LOW,14.09,BULLISH,2066.66,0.0138,UP,0.0086,FLAT,0.0207,UP
2016-04-12,MID,14.85,BULLISH,2061.72,0.0008,FLAT,0.0024,FLAT,0.0084,FLAT
2016-04-13,LOW,13.84,BULLISH,2082.42,-0.015,DOWN,-0.0169,DOWN,-0.0016,FLAT
2016-04-14,LOW,13.72,BULLISH,2082.78,-0.0154,DOWN,-0.0169,DOWN,-0.0018,FLAT
2016-04-15,LOW,13.62,BULLISH,2080.73,-0.0113,DOWN,-0.0196,DOWN,-0.0026,FLAT
2016-04-18,LOW,13.35,BULLISH,2094.34,-0.017,DOWN,-0.0221,DOWN,-0.011,DOWN
2016-04-19,LOW,13.24,BULLISH,2100.8,-0.0078,FLAT,-0.0251,DOWN,-0.0084,FLAT
2016-04-20,LOW,13.28,BULLISH,2102.4,-0.018,DOWN,-0.0125,DOWN,-0.0091,FLAT
2016-04-21,LOW,13.95,BULLISH,2091.48,-0.0131,DOWN,-0.0004,FLAT,-0.0039,FLAT
2016-04-22,LOW,13.22,BULLISH,2091.58,-0.0215,DOWN,-0.0007,FLAT,-0.0013,FLAT
2016-04-25,LOW,14.08,BULLISH,2087.79,-0.0101,DOWN,0.0044,FLAT,-0.0241,DOWN
2016-04-26,LOW,13.96,BULLISH,2091.7,-0.0213,DOWN,0.0025,FLAT,-0.0436,DOWN
2016-04-27,LOW,13.77,BULLISH,2095.15,-0.0227,DOWN,0.0009,FLAT,-0.0452,DOWN
2016-05-02,MID,14.68,BULLISH,2081.43,-0.016,DOWN,0.0134,UP,0.0103,UP
2016-05-06,MID,14.72,BULLISH,2057.14,0.0204,UP,0.0284,UP,0.0153,UP
2016-05-09,MID,14.57,BULLISH,2058.69,0.0186,UP,0.0099,FLAT,0.0346,UP
2016-05-10,LOW,13.63,BULLISH,2084.39,0.006,FLAT,-0.0026,FLAT,0.0253,UP
2016-05-11,MID,14.69,BULLISH,2064.46,0.0169,UP,0.0053,FLAT,0.0352,UP
2016-05-12,LOW,14.41,BULLISH,2064.11,0.0199,UP,0.0036,FLAT,0.0354,UP
2016-05-24,LOW,14.42,BULLISH,2076.06,-0.0004,FLAT,-0.0364,DOWN,0.0445,UP
2016-05-25,LOW,13.9,BULLISH,2090.54,-0.0091,FLAT,-0.026,DOWN,0.0373,UP
2016-05-26,LOW,13.43,BULLISH,2090.1,-0.0058,FLAT,-0.0092,FLAT,0.0375,UP
2016-05-27,LOW,13.12,BULLISH,2099.06,-0.0133,DOWN,-0.0001,FLAT,0.0334,UP
2016-05-31,LOW,14.19,BULLISH,2096.95,-0.0038,FLAT,-0.004,FLAT,0.0352,UP
2016-06-01,LOW,14.2,BULLISH,2099.33,-0.0066,FLAT,-0.0051,FLAT,0.0341,UP
2016-06-02,LOW,13.63,BULLISH,2105.26,0.0038,FLAT,-0.0026,FLAT,0.0312,UP
2016-06-03,LOW,13.47,BULLISH,2099.13,-0.0294,DOWN,-0.0006,FLAT,0.0276,UP
2016-06-06,LOW,13.65,BULLISH,2109.41,-0.0516,DOWN,0.0132,UP,0.0348,UP
2016-06-07,LOW,14.05,BULLISH,2112.13,-0.036,DOWN,0.0119,UP,0.0326,UP
2016-06-08,LOW,14.08,BULLISH,2119.12,-0.0228,DOWN,0.0156,UP,0.0291,UP
2016-06-09,LOW,14.64,BULLISH,2115.48,-0.0079,FLAT,0.0175,UP,0.0309,UP
2016-07-01,LOW,14.77,BULLISH,2102.95,0.0343,UP,0.0291,UP,0.0348,UP
2016-07-06,LOW,14.96,BULLISH,2099.73,0.0318,UP,0.0391,UP,0.0413,UP
2016-07-08,LOW,13.2,BULLISH,2129.9,0.0205,UP,0.0262,UP,0.0266,UP
2016-07-11,LOW,13.54,BULLISH,2137.16,0.0158,UP,0.0248,UP,-0.0044,FLAT
2016-07-12,LOW,13.55,BULLISH,2152.14,0.0023,FLAT,0.0177,UP,0.0032,FLAT
2016-07-13,LOW,13.04,BULLISH,2152.43,0.0053,FLAT,0.0119,UP,0.0031,FLAT
2016-07-14,LOW,12.82,BULLISH,2163.75,0.0002,FLAT,0.0085,FLAT,-0.0022,FLAT
2016-07-15,LOW,12.67,BULLISH,2161.74,0.0098,FLAT,0.0117,UP,-0.0161,DOWN
2016-07-18,LOW,12.44,BULLISH,2166.89,0.0065,FLAT,0.0073,FLAT,-0.0128,DOWN
2016-07-19,LOW,11.97,BULLISH,2163.78,0.0083,FLAT,0.0087,FLAT,-0.0114,DOWN
2016-07-20,LOW,11.77,BULLISH,2173.02,0.0011,FLAT,0.0064,FLAT,-0.0156,DOWN
2016-07-21,LOW,12.74,BULLISH,2165.17,0.0095,FLAT,0.0047,FLAT,-0.012,DOWN
2016-07-22,LOW,12.02,BULLISH,2175.03,0.0041,FLAT,-0.0012,FLAT,-0.0162,DOWN
2016-07-25,LOW,12.87,BULLISH,2168.48,0.01,FLAT,0.0055,FLAT,-0.0017,FLAT
2016-07-26,LOW,13.05,BULLISH,2169.18,0.0041,FLAT,0.0052,FLAT,-0.0106,DOWN
